episode,name,line
4x02 - The Best Burger in New York,Robin," What about the underpants?
"
4x02 - The Best Burger in New York,Lily," It started a couple of weeks ago.
"
4x02 - The Best Burger in New York,Marshall," Heads! It's going to be heads. It's almost usually heads.
"
4x02 - The Best Burger in New York,Lily," Hey, baby.
"
4x02 - The Best Burger in New York,Marshall," Hey!
"
4x02 - The Best Burger in New York,Lily," Did you put on pants today?
"
4x02 - The Best Burger in New York,Marshall," Nope.
"
4x02 - The Best Burger in New York,Lily," It was funny at first, but then it became a daily thing. I thought, ""Okay, well, at least he's not leaving the house like that."" Then, one day, he opened the door to get the paper. Day after that, went downstairs to get the mail.
"
4x02 - The Best Burger in New York,Ted," Everyone's got an underpants radius. For most of us, it's the distance from the bedroom to the bathroom, but as your self-esteem gets smaller, your underpants radius gets bigger.
"
4x02 - The Best Burger in New York,Robin," How big is Marshall's underpants radius?
"
4x02 - The Best Burger in New York,Marshall," We're going.
"
4x02 - The Best Burger in New York,Ted," Come on, Lily, he'll find a job eventually.
"
4x02 - The Best Burger in New York,Barney," You know, Lil, when times are tough, I like to remember the uplifting words of my favourite song.
"
4x02 - The Best Burger in New York,Lily," We've got to find Marshall that burger.
"
4x02 - The Best Burger in New York,Ted," Lily, I think we're all eating that burger.
"
4x02 - The Best Burger in New York,Robin," I'm not eating that burger.
"
4x02 - The Best Burger in New York,Lily," No, if Marshall says this isn't the burger, this isn't it.
"
4x02 - The Best Burger in New York,Robin," Finally.
"
4x02 - The Best Burger in New York,Lily," Excuse me. Did you guys change cooks or something? Because my husband was here 5 years ago, he's sure he had a different burger.
"
4x02 - The Best Burger in New York,Ted," What? Uptown? Where?
"
4x02 - The Best Burger in New York,Robin," Damn it.
"
4x02 - The Best Burger in New York,Marshall," 106. A numbered street. Of course.
"
4x02 - The Best Burger in New York,Barney," Barney Stinson.
"
4x02 - The Best Burger in New York,Barney," I'm sorry, this is...?
"
4x02 - The Best Burger in New York,Barney," Of course. I'm sorry, I forgot to call you. That's not the place. The real place is on 106th and Manhattan Avenue. We're headed there right now.
"
4x02 - The Best Burger in New York,Barney," Onions?
"
4x02 - The Best Burger in New York,Barney," Okay, no onions.
"
4x02 - The Best Burger in New York,Marshall," Stop the cab!
"
4x02 - The Best Burger in New York,Marshall," Wait. This is it.
"
4x02 - The Best Burger in New York,Marshall," This is it.
"
4x02 - The Best Burger in New York,Barney," One of 9,000 convenient locations.
"
4x02 - The Best Burger in New York,Marshall," It was ri... it was right here. It was... it was right on this very spot.
"
4x02 - The Best Burger in New York,Robin," I don't understand. Where is the burger place?
"
4x02 - The Best Burger in New York,Ted," It's not a burger place anymore; it's a Goliath National Bank ATM.
"
4x02 - The Best Burger in New York,Robin,"(getting crazy)
"
4x02 - The Best Burger in New York,Ted," We can't eat here. It's an ATM.
"
4x02 - The Best Burger in New York,Robin," But... food.
"
4x02 - The Best Burger in New York,Barney," What the...
"
4x02 - The Best Burger in New York,Lily," This is your fault, you and your stupid bank. You did this.
"
4x02 - The Best Burger in New York,Barney," It's not my... Stop, okay.
"
4x02 - The Best Burger in New York,Lily," I will never use a Goliath ATM ever again. Goliath National Bank sucks. It's the worst bank on the face of the earth. Attention, New Yorkers, this bank sucks! They suck!
"
4x02 - The Best Burger in New York,Barney," Marshall, Geez.
"
4x02 - The Best Burger in New York,Lily," They suck, suck!
"
4x02 - The Best Burger in New York,Barney," Will you just tell her already?
"
4x02 - The Best Burger in New York,Lily," Tell me what? Tell me what?
"
4x02 - The Best Burger in New York,Marshall," I got a job.
"
4x02 - The Best Burger in New York,Lily," What? Where?
"
4x02 - The Best Burger in New York,Marshall," Goliath National Bank. That's why Barney's been going on and on about how, how great Goliath is. He wanted you to be excited for me since we will to working together.
"
4x02 - The Best Burger in New York,Barney," Well, technically not together. You won't have access to my floor.
"
4x02 - The Best Burger in New York,Lily," But you want to be an environmental lawyer.
"
4x02 - The Best Burger in New York,Marshall," Yeah and I also want to be a Harlem Globetrotter and get paid in candy, but in the meantime, I need a job, and this is, this is a really good one. It's great pay and there's good benefits, and to be honest, it gives me a reason to put on pants in the morning. You know, I have my whole life to save the planet, but right now I'm kind of really excited to wear pants again.
"
4x02 - The Best Burger in New York,Lily," You've got great pants.
"
4x02 - The Best Burger in New York,Marshall," I love you.
"
4x02 - The Best Burger in New York,Lily," I love you.
"
4x02 - The Best Burger in New York,Ted," Robin, no!
"
4x02 - The Best Burger in New York,Robin," They're unopened.
"
4x02 - The Best Burger in New York,Ted," Give it.
"
4x02 - The Best Burger in New York,Robin," They're barbecue.
"
4x02 - The Best Burger in New York,Ted," Give it!
"
4x02 - The Best Burger in New York,Lily," I'm sorry you didn't get your burger.
"
4x02 - The Best Burger in New York,Marshall," It's stupid. I think about that first week in New York. You know? I was 22 years old. I had my whole future ahead of me. I guess I just kind of thought that if I could have that burger one more time and feel that way for one more night, that I might be able to check that off the list, and grow up, go work for the stupid bank, and just... be happy.
"
4x02 - The Best Burger in New York,Robin,"(Licking an envelope.)
"
4x02 - The Best Burger in New York,Marshall," Let's pay the man.
"
4x02 - The Best Burger in New York,Lily," I paid for the cab.
"
4x02 - The Best Burger in New York,Ted," I have any cash.
"
4x02 - The Best Burger in New York,Marshall," I haven't worked since March.
"
4x02 - The Best Burger in New York,Barney," If only there were an easy, convenient way to get some cash right now.
"
4x02 - The Best Burger in New York,Barney," Member FDIC.
"
4x02 - The Best Burger in New York,Marshall," Thank you.
"
4x02 - The Best Burger in New York,Ted," All right, Marshall, remember. It might not taste as good. This place has changed, you've changed, New York has changed. Just... don't get your hopes up too high, okay?
"
4x02 - The Best Burger in New York,Marshall," This is it.
"
4x02 - The Best Burger in New York,Marshall," It's exactly the same. It's the best burger in New York. Go ahead, eat up, eat up.
"
4x02 - The Best Burger in New York,Lily," I want to get tiny fitted sheets for this burger, and just... crawl into this bun, get all cosy, and die there.
"
4x02 - The Best Burger in New York,Robin," Oh, my God. I just want you inside of me.
"
4x02 - The Best Burger in New York,Barney," This feels so good. I'm worried I'm gonna get this burger pregnant.
"
4x02 - The Best Burger in New York,Marshall," If he does get that burger pregnant, I have dibs on the delicious burger babies.
"
4x02 - The Best Burger in New York,Barney," That's outrageous.
"
4x02 - The Best Burger in New York,Marshall," You were just freakin' teasing us.
"
5x08 - The Playbook,Lily," You see that guy over there in diving suit? You think you're going to go talk to him?
"
5x08 - The Playbook,Lily," Okay. This is certainly the biggest con on this planet.
"
5x08 - The Playbook,Lily," This is one of my best friends.
"
5x08 - The Playbook,Lily," It's a long story. You see, he just break...
"
5x08 - The Playbook,Robin," My career. This is my new priority. From now on, more a date. The job.
"
5x08 - The Playbook,Barney," All women of New York. That's right, Barney Stinson is back on the market. Mother, lock your daughters. Daughters, lock your MAQACENJaR.
"
5x08 - The Playbook,Marshall," MAQACENJaR?
"
5x08 - The Playbook,Ted," Wait, I can find. With Mothers Who I'd like Sunset And Never Forgot.
"
5x08 - The Playbook,Barney," You have the right answer!
"
5x08 - The Playbook,Lily," You're not rush a little, then?
"
5x08 - The Playbook,Barney," Since I went out with Robin there is a trick that I have not used as much as I wanted. It is... rather large, surprisingly heavy, with the skin, and it's black. My friends, this is the book of... Roles.
"
5x08 - The Playbook,Barney," The Roles book contains all the scams, trickery, deception, underhand, cunning, nonsense, and embobinages tricks I used, or expected use, to nab the girls and do their business.
"
5x08 - The Playbook,Marshall," You're writing another book? Stephen King was one right there.
"
5x08 - The Playbook,Barney," It's all there. Everything, starting from the basic, like Le Bois Do Not Ca...
"
5x08 - The Playbook,Barney," Do not drink it. I saw a guy put something.
"
5x08 - The Playbook,Barney," This guy.
"
5x08 - The Playbook,Barney,"... Until more advanced maneuvers, such as the Ms. Stinsfire.
"
5x08 - The Playbook,Marshall," I do not see how it could not walk.
"
5x08 - The Playbook,Ted," What The Lorenzo Von Matterhorn?
"
5x08 - The Playbook,Barney," Glad you asked. The Lorenzon Von Matterhorn will be my comeback on stage. Or, you know, in my bed. In fact, my bed is on a stage. I put it on a platform and installed lighting. A real production. Barney goes!
"
5x08 - The Playbook,Marshall," And you Robin? You leave it in play? Where is your book of Roles?
"
5x08 - The Playbook,Robin," My book? Buddy... in two volumes, right here.
"
5x08 - The Playbook,Ted," A great book.
"
5x08 - The Playbook,Lily," Yeah, I'm reading it.
"
5x08 - The Playbook,Robin," So, I have told you, I take a break on that side.
"
5x08 - The Playbook,Ted," It's going to happen.
"
5x08 - The Playbook,Marshall," Bluntly.
"
5x08 - The Playbook,Robin," What?
"
5x08 - The Playbook,Ted," You'll fall in love.
"
5x08 - The Playbook,Marshall," Very soon.
"
5x08 - The Playbook,Robin," It's unlikely, I focus on my career, finished the rencards.
"
5x08 - The Playbook,Ted," We play Pyramid. What people are saying just before meeting the love.
"
5x08 - The Playbook,Marshall," Kelly Harris, a fellow law school, said... ""The law school is too hard, I want to focus on courses. ""Six months later?Married!
"
5x08 - The Playbook,Robin," It's good but...
"
5x08 - The Playbook,Ted," Travis Frenchroy, replacing bartender told me... ""I'm done with all these rencards. I want to concentrate on my fan fiction of Star Trek. ""Six months later... Married!
"
5x08 - The Playbook,Robin," I answer? It's good for them...
"
5x08 - The Playbook,Marshall," Matthew Blitz, accounting job, said... ""I will die alone.To focus as much on taxes this year. ""Six months later? PACS and plans to marry pending the enactment of the Act currently in the Senate from New York!
"
5x08 - The Playbook,Ted," It happens, whatever you say. It is a law of nature.
"
5x08 - The Playbook,Marshall," Judged. By nature.
"
5x08 - The Playbook,Ted," Trust me. I would not get interested in relationships. I would not be single if I wanted to be single.
"
5x08 - The Playbook,Lily," Okay. Are you ready?
"
5x08 - The Playbook,Ted," Ready for what?
"
5x08 - The Playbook,Lily," Three years ago, Shelly started working at my school.When I saw her, I said, ""It's perfect for Ted.""
"
5x08 - The Playbook,Ted," Why do not you talk to me now?
"
5x08 - The Playbook,Lily," He is. It is so great and attentive and intelligent.
"
5x08 - The Playbook,Marshall," Another chicken and stick to you the crown!
"
5x08 - The Playbook,Lily," I do not see it. It must be voluntary. So, another bar?
"
5x08 - The Playbook,Ted," Yeah she was pretty.
"
5x08 - The Playbook,Lily," It still is. And you're ready.
"
5x08 - The Playbook,Marshall," But you can put three times more than chicken fingers in your mouth. You know.
"
5x08 - The Playbook,Lily," I will fix it but promise me not to do anything stupid.
"
5x08 - The Playbook,Ted," I promise to do anything stupid.
"
5x08 - The Playbook,Lily," You should!
"
5x08 - The Playbook,Lily," You should! You should!
"
5x08 - The Playbook,Lily," And you met him at McLaren's?
"
5x08 - The Playbook,Lily," What is the name there?
"
5x08 - The Playbook,Lily," You... dirty bastard.
"
5x08 - The Playbook,Lily," Bluntly.
"
5x08 - The Playbook,Lily," I had put aside for Ted Shelly for 3 years.
"
5x08 - The Playbook,Barney," My hen, Ted did not miss much. She is brainy, boring, a bit boring in bed. In fact it would have been perfect for Ted.Oops!  If I had known she was there for Ted, I would have obviously not done, but... given the circumstances, I think Ted would be proud of me. I managed The Lorenzo Von Matterhorn.
"
5x08 - The Playbook,Lily," Exactly, yes.
"
5x08 - The Playbook,Lily," What The Lorenzo Von Matterhorn?
"
5x08 - The Playbook,Barney," Glad you asked.
"
5x08 - The Playbook,Barney," To achieve the Lorenzo Von Matterhorn is what you need, basic knowledge in web design and a truly unique fake name. So think about your fake name right away. You? Fine.Now choose your target.  Preferably a girl with a great big... phone.  Yeah that's me.
"
5x08 - The Playbook,Barney," I'm Lorenzo Von Matterhorn.
"
5x08 - The Playbook,Barney," Yes. You do not know who I am, does not it? It feels good for once. Nice to meet you...
"
5x08 - The Playbook,Barney," Shelly? Again, I'm Lorenzo Von Matterhorn. It is written as it is pronounced, with two ""T"".  Then, once you leave, she takes out her phone and tries Lorenzo Von Matterhorn on the Internet. And that's when she discovers... A series of fake websites, all devoted to the incredible life of Lorenzo Von Matterhorn. A false item of business on Lorenzo, the hermit billionaire. The fake of the Explorer Club newsletter on his trip to the North Pole in an airship, a feat of imagination and challenge. The fake medical journal with a story to make you cry the doctors saying that a reduction of the penis is not an option. And time to return...  I hate to be cheeky, but I can offer you a coffee?
"
5x08 - The Playbook,Barney," How much is a coffee today, $ 50? And here we go.
"
5x08 - The Playbook,Lily," It's horrible. You realize you've broken her heart? She is inconsolable.
"
5x08 - The Playbook,Barney," Why would it be inconsolable? The airship of Lorenzo will not disappear in the Arctic for a week. Sorry if this is that someone told her that it was lies.
"
5x08 - The Playbook,Lily," It was all lies.
"
5x08 - The Playbook,Lily," Lies!
"
5x08 - The Playbook,Lily," Lies!
"
5x08 - The Playbook,Lily," Men... Actually, that's true. I went there.
"
5x08 - The Playbook,Lily," Lies!
"
5x08 - The Playbook,Barney," Oh my God! Well, I hope you are pleased with you.
"
5x08 - The Playbook,Lily," What?
"
5x08 - The Playbook,Barney," Thou hast broken my heart.
"
5x08 - The Playbook,Lily," Me?
"
5x08 - The Playbook,Barney," You! She will never trust a man. You've spoiled for Ted.Not to mention Julio Von Matterhorn, the twin brother of Lorenzo.
"
5x08 - The Playbook,Lily," Do you believe? He says it's my fault. And by the way, Ted, I bet she go out with you again.
"
5x08 - The Playbook,Ted," I'm thinking. Do I want to date a girl that Barney was typed?Help me for harmonies. Of course.
"
5x08 - The Playbook,Lily," That must bother you a bit.
"
5x08 - The Playbook,Robin," It's his life. These girls had it coming if they are stupid enough to be fooled.
"
5x08 - The Playbook,Marshall," I agree. You've seen one called The Snåsa?
"
5x08 - The Playbook,Barney," Actually, I'm in a top secret government space program called Secret NASA... Snåsa.
"
5x08 - The Playbook,Barney," No Moon you know, but I went on Slune.
"
5x08 - The Playbook,Robin," If you fall in there, you break my heart, but sorry, you're sdébile.
"
5x08 - The Playbook,Lily," Well, Barney, you go out... You just get out of a sincere relationship. You're a big boy now. You can return to your towers to two euros.
"
5x08 - The Playbook,Barney," Tours to two euros?! None of these towers is. The Tower A except two Euros.
"
5x08 - The Playbook,Barney," I am the bassist for Tower Two Euros. And even that involves expensive hair extensions. Now, if you allow, I have to prepare for the event tonight. The I exécuterais he will not come.Glad you asked.
"
5x08 - The Playbook,Barney," The To run it will not come, you will need the observation deck of the Empire State Building. Got it? Fine. For generations, this is the place chosen by New Yorkers for reunion with their lost lovers of view, you need to go to every girl and say, ""He will not come.""
"
5x08 - The Playbook,Barney," Let it go.  He will not come. He will not come. She's not coming? Sorry.  Until... He will not come.
"
5x08 - The Playbook,Robin," I'll fetch the newspaper.
"
5x08 - The Playbook,Ted," Or rather, look for a husband.
"
5x08 - The Playbook,Marshall," Grave.
"
5x08 - The Playbook,Robin," You must stop, seriously. The last thing I'm looking for now is a relationship.
"
5x08 - The Playbook,Ted," Taking the newspaper, think to watch the ads for marriages.For yours.
"
5x08 - The Playbook,Marshall," It's like that. Have you any idea how many times in my life when I went to look for frozen waffles frozen in vain?
"
5x08 - The Playbook,Robin," Thousands?
"
5x08 - The Playbook,Marshall," Millions. But when I go in search of a mirror or the remote because Lily and I had an argument and she has hidden there, whereupon I fall? Frozen waffles. It's like that. You go out to get the newspaper, but you come back with frozen waffles.And there, frozen waffles he's a guy. As long as you're there, you take it back frozen waffles? And there, frozen waffles are... frozen waffles.
"
5x08 - The Playbook,Robin," What happened?
"
5x08 - The Playbook,Barney," I tried the he will not come, and it worked. Monstrous.You should have seen this girl.
"
5x08 - The Playbook,Robin," I'm leaving.
"
5x08 - The Playbook,Barney," So, we came up to me, and I go to my room to prepare the camera... lighting candles... and when I go out, nobody, paper and more roles! We all know who is responsible for that.
"
5x08 - The Playbook,Lily," Yes, we know.
"
5x08 - The Playbook,Barney," Al-Qaeda.
"
5x08 - The Playbook,Lily," No, you idiot. That was me.
"
5x08 - The Playbook,Barney," You... enfoirée dirty!
"
5x08 - The Playbook,Lily," An actress friend.
"
5x08 - The Playbook,Barney," An actress. Of course. That explains his perfect diction and style of Drag.
"
5x08 - The Playbook,Lily," I'm almost to the point of taking this book and put it on the net for everyone to see.
"
5x08 - The Playbook,Barney," You would not dare.
"
5x08 - The Playbook,Lily," No, as you stop scams and confidence tricks, deception, underhand, tricks, schemes and embobinages.
"
5x08 - The Playbook,Barney," You did not say nonsense.
"
5x08 - The Playbook,Lily," No more nonsense!
"
5x08 - The Playbook,Barney," Slim.
"
5x08 - The Playbook,Robin," Sorry to interrupt but check it out.
"
5x08 - The Playbook,Ted," No.
"
5x08 - The Playbook,Barney," I was abandoned at the altar.
"
5x08 - The Playbook,Ted," Oh, my god, it's horrible. I wonder if it works.
"
5x08 - The Playbook,Marshall," And yet this is not the worst. Do you saw My Penis grants wishes?
"
5x08 - The Playbook,Barney," Only if you rub hard enough.
"
5x08 - The Playbook,Ted," He starts singing and objects come alive and dance with him.
"
5x08 - The Playbook,Marshall," It's not very well designed. This is not Ms. Stinsfire.
"
5x08 - The Playbook,Lily," A few hours later...
"
5x08 - The Playbook,Ted," Apparently, it will rain.
"
5x08 - The Playbook,Barney," If you wonder, I would be at McLaren's playing a character from the Book of roles being called The Diver. That's all.
"
5x08 - The Playbook,Lily," It's good. I put the Book of Roles on the Internet. Baby, you can put the Book of Roles on the Internet?
"
5x08 - The Playbook,Marshall," Sure baby, but there is something odd. I flipped through the whole book. There is no role called The Diver.
"
5x08 - The Playbook,Barney," Now you want to know what the diver. In fact, it was on the last page of the Book, but I pulled in case. But do not worry.You will see it in action. You see the blonde next to the bar?Cizzible repérizzée.
"
5x08 - The Playbook,Lily," Barney, no. You are...
"
5x08 - The Playbook,Barney," Forget it, kid. If anyone should be angry with me, this is Robin. She loves the book.
"
5x08 - The Playbook,Robin," I did not worship the book.
"
5x08 - The Playbook,Barney," But what...? The Book of the Rolls, this is gold. Granted this is truly spectacular.
"
5x08 - The Playbook,Robin," We just broke. The costumes are nice, but... it just broke.
"
